"DPT_EXE","DEPART","ARRIVEE","NBRE"
"25",21042,21231,1
"21",21605,21223,1
"53",53122,53130,1
"71",21231,21683,1
"91",91691,91691,1
"21",21231,58134,1
"21",71039,21603,1
"89",89386,89418,1
"89",21603,89005,1
"21",21247,21154,1
"90",90097,25043,1
"39",39300,21317,1
"21",21278,21131,1
"21",21575,21103,1
"21",21584,21345,1
"21",21278,21179,1
"21",21554,69029,1
"21",21031,39198,1
"89",21605,21231,1
"21",21054,54547,1
"21",21464,51069,1
"21",21433,21515,1
"21",21515,1374,1
"89",89418,21231,1
"21",21171,92060,1
"75",75113,77288,1
"13",13005,13085,1
"21",21710,21038,1
"07",69999,7245,1
"71",71182,21617,1
"21",52269,21400,1
"71",71486,71040,1
"25",21708,21054,1
"25",21054,21171,1
"70",70478,70550,1
"01",69013,69264,1
"21",21161,10387,1
"54",54395,54157,1
"21",21330,21632,1
"69",69282,69383,1
"89",89025,21505,1
"21",67507,21231,1
"21",75056,21663,1
"21",21496,67445,1
"62",62160,62025,1
"21",21220,21515,1
"74",74159,74256,1
"74",74300,74256,1
"31",31239,31555,1
"89",21589,21231,1
"83",83011,83050,1
"85",85194,85288,1
"21",21166,21228,1
"84",84019,26198,1
"21",21339,39056,1
"56",29232,56220,1
"08",8490,8393,1
"21",21367,21540,1
"71",21054,69029,1
"21",21278,21502,1
"39",39210,39300,1
"11",11255,11170,1
"83",83906,83137,1
"34",34128,34111,1
"52",52092,52269,1
"71",21325,71014,1
"58",21231,58286,1
"21",21317,69152,1
"25",70579,90097,1
"21",25475,21337,1
"21",21515,21383,1
"21",21393,71182,1
"21",21087,21515,1
"21",21278,21194,1
"21",71153,21412,1
"21",21636,69029,1
"21",42222,21231,1
"21",21000,21430,1
"21",21317,21107,1
"67",67437,67067,1
"21",21332,39198,1
"88",88349,88413,1
"25",25056,21643,1
"21",21425,21213,1
"25",21582,21501,1
"25",21231,21338,1
"25",21480,21054,1
"21",67482,21532,1
"21",21185,21464,1
"37",37261,37233,1
"21",21240,21360,1
"21",72134,21584,1
"70",70550,21617,1
"21",21027,21194,1
"89",75056,21449,1
"79",79191,79083,1
"21",94275,21190,1
"39",39436,25527,1
"77",77307,77155,1
"75",91514,91552,1
"06",99138,83118,1
"21",21152,21278,1
"89",92060,21231,1
"21",21231,89349,1
"21",21051,21617,1
"71",71462,71076,1
"21",10317,10387,1
"89",89407,89418,1
"71",71257,71076,1
"77",77288,94028,1
"21",21130,51588,1
"21",21373,21515,1
"21",21584,21176,1
"71",71076,21409,1
"21",21617,75112,1
"21",21299,21515,1
"85",49099,85191,1
"21",21632,94043,1
"21",10387,21309,1
"25",25056,21351,1
"21",75908,21110,1
"10",10034,21231,1
"21",73201,21231,1
"21",21518,92060,1
"89",89287,89387,1
"21",21057,25056,1
"89",21027,21231,1
"84",84003,4112,1
"91",91552,91377,1
"25",21483,21231,1
"77",91514,77296,1
"21",21231,71202,1
"92",75118,75118,1
"93",93008,93010,1
"21",69385,21481,1
"21",0,21462,1
"54",54572,54382,1
"10",21154,51454,1
"24",33318,33160,1
"71",21603,21363,1
"21",21138,69029,1
"91",91534,91122,1
"21",21023,21152,1
"21",21663,21670,1
"89",21320,21231,1
"52",52031,52121,1
"21",0,21039,1
"10",10362,10387,1
"28",28378,28280,1
"21",21198,58194,1
"69",69003,21000,1
"69",69387,69029,1
"69",69300,21056,1
"21",21379,21617,1
"21",21617,21170,1
"21",21515,21220,1
"21",39198,21360,1
"92",92002,92002,1
"03",3190,3155,1
"21",92073,21138,1
"69",69388,69264,1
"21",39198,21017,1
"25",21054,21028,1
"21",21166,21592,1
"21",21180,70279,1
"25",25056,21331,1
"21",21166,21209,1
"38",38203,38516,1
"39",21496,39056,1
"21",89024,21500,1
"21",71076,21561,1
"21",10387,21378,1
"21",21392,21000,1
"70",25056,21383,1
"21",21038,39500,1
"71",71014,21102,1
"21",21103,23231,1
"21",75056,21432,1
"58",58110,71014,1
"21",21501,71182,1
"75",45284,92060,1
"21",21059,21555,1
"21",21231,77445,1
"71",21636,71076,1
"21",21231,71085,1
"21",10333,21454,1
"21",58196,69123,1
"21",21099,21568,1
"75",75115,91021,1
"93",93047,94018,1
"21",21268,0,1
"21",0,31555,1
"21",80486,25056,1
"94",94078,92073,1
"38",38053,69029,1
"26",26353,26362,1
"06",6083,6123,1
"21",40065,21231,1
"21",21661,21485,1
"21",21584,21210,1
"21",21584,21456,1
"21",21154,21122,1
"75",92036,92024,1
"31",31555,31488,1
"21",21038,89257,1
"25",21231,21399,1
"21",21231,69385,1
"69",69116,69389,1
"71",21231,71585,1
"07",26092,7324,1
"52",52022,52121,1
"25",21540,21599,1
"89",21231,21007,1
"97",97413,97415,1
"21",21417,21154,1
"71",71490,71270,1
"21",21326,10387,1
"25",21317,21555,1
"52",21617,52353,1
"89",21347,21231,1
"21",21054,71480,1
"69",69137,69143,1
"21",71182,21342,1
"52",21090,21231,1
"21",21584,21108,1
"89",21271,21603,1
"21",21213,21263,1
"39",39436,21027,1
"21",21519,69383,1
"21",21584,21060,1
"89",21500,21603,1
"92",92902,75113,1
"89",89412,21603,1
"35",35278,35210,1
"21",21584,21534,1
"78",78158,78158,1
"89",89257,21546,1
"89",21663,21452,1
"13",13208,13001,1
"21",71475,71073,1
"69",69123,69389,1
"21",21231,25259,1
"69",69389,71076,1
"88",88114,88516,1
"75",93001,75119,1
"21",21171,5130,1
"71",0,21684,1
"70",21416,21231,1
"21",21050,71073,1
"70",70279,71182,1
"89",21617,89024,1
"71",71076,71295,1
"21",21425,75115,1
"39",39013,21461,1
"05",5023,5065,1
"21",75119,21555,1
"21",39526,21231,1
"21",21481,69388,1
"21",21649,21710,1
"75",91800,94800,1
"21",21167,21515,1
"21",21278,21368,1
"21",21436,71076,1
"21",21026,69029,1
"83",83016,13028,1
"25",21231,21505,1
"58",58250,58095,1
"21",21657,25056,1
"21",69029,21355,1
"31",31555,21231,1
"21",23265,21231,1
"21",21584,21043,1
"21",71076,21131,1
"89",89025,21247,1
"21",21171,17155,1
"21",21054,21422,1
"01",1283,1283,1
"71",71190,58196,1
"11",11262,11202,1
"30",30189,30334,1
"25",21231,21356,1
"01",71270,21054,1
"34",34332,34172,1
"21",21617,21565,1
"21",21428,21166,1
"25",21231,89210,1
"04",4178,4070,1
"21",21586,46044,1
"89",89203,89025,1
"06",6149,6054,1
"89",89197,89204,1
"52",21163,52269,1
"21",21515,21059,1
"83",83073,83023,1
"21",21046,21054,1
"10",10343,21305,1
"21",21231,90023,1
"21",33063,21387,1
"21",21089,25056,1
"75",94080,94067,1
"13",13001,13032,1
"10",21034,21166,1
"71",71999,21231,1
"71",71426,71076,1
"21",21180,21180,1
"66",66049,66003,1
"21",21490,21617,1
"21",75056,71269,1
"71",21379,21231,1
"21",21652,21166,1
"84",13001,13099,1
"21",21054,21300,1
"88",88465,54999,1
"29",29046,29003,1
"39",21496,21231,1
"21",21540,69383,1
"21",69383,21540,1
"25",25056,90057,1
"25",21442,21464,1
"21",54395,57552,1
"21",21231,70044,1
"58",3190,3155,1
"71",71182,71014,1
"21",93005,21231,1
"13",13211,13205,1
"21",0,21158,1
"21",39436,21054,1
"21",21000,21634,1
"21",21231,49205,1
"21",21278,21048,1
"21",52405,21638,1
"21",21307,25056,1
"25",92073,21054,1
"89",21613,21231,1
"21",21053,54547,1
"89",21324,21231,1
"75",75103,75113,1
"21",21416,21540,1
"25",21231,75105,1
"73",73280,73248,1
"06",6920,6029,1
"71",21582,21106,1
"13",13068,13004,1
"94",75118,75109,1
"21",21036,71182,1
"21",89024,89418,1
"74",74208,21231,1
"21",21240,21000,1
"71",69123,71380,1
"21",25056,21561,1
"21",75101,21054,1
"21",10365,21231,1
"21",35053,21231,1
"21",21278,21045,1
"10",10033,21674,1
"94",94033,93048,1
"71",21054,21411,1
"21",21278,21622,1
"21",21100,21603,1
"17",17093,17299,1
"25",21458,25056,1
"74",69029,74010,1
"13",13055,13067,1
"39",39310,25056,1
"21",21239,0,1
"13",2769,84086,1
"31",31488,31555,1
"89",21382,21603,1
"71",21231,71511,1
"83",83068,83065,1
"25",21231,21239,1
"21",21390,94043,1
"17",17421,17461,1
"21",21584,21694,1
"45",45006,45302,1
"71",71182,71528,1
"71",71118,21356,1
"70",25056,70408,1
"21",21327,21023,1
"01",71137,1053,1
"21",21278,21183,1
"21",21015,54395,1
"93",93010,75110,1
"75",75113,94052,1
"21",21106,21278,1
"30",30189,13055,1
"74",74305,74011,1
"71",21086,0,1
"71",21411,71076,1
"25",6026,21355,1
"92",92051,75117,1
"83",83047,83069,1
"38",38151,38442,1
"94",94054,94078,1
"21",21154,21177,1
"21",21085,21603,1
"21",21196,21582,1
"21",21416,21644,1
"21",21003,21642,1
"34",34120,34172,1
"30",30028,30295,1
"21",21611,21338,1
"21",21603,21181,1
"89",21231,21577,1
"58",58053,21562,1
"21",21223,21605,1
"21",21138,69123,1
"89",21231,21212,1
"21",21408,21112,1
"75",75103,75112,1
"21",0,21493,1
"89",21641,21603,1
"34",34500,34147,1
"68",68269,68066,1
"21",31555,21231,1
"70",70550,21574,1
"70",70279,70220,1
"21",21166,58268,1
"21",21584,21087,1
"21",92060,21201,1
"21",21534,40088,1
"88",21231,21231,1
"43",43242,43040,1
"21",21464,21577,1
"25",21054,21190,1
"21",21331,25056,1
"21",21568,21032,1
"21",89418,21093,1
"21",21464,21005,1
"21",21005,21464,1
"21",21374,71073,1
"49",49007,49189,1
"17",17051,17300,1
"89",21501,21678,1
"21",21367,39198,1
"18",18033,18109,1
"21",21171,21554,1
"21",21470,21154,1
"21",52121,21035,1
"25",90097,90005,1
"21",21001,21278,1
"34",34500,34166,1
"94",75114,21231,1
"21",71182,21154,1
"21",70279,21060,1
"21",21678,21425,1
"21",21242,21617,1
"21",21166,21612,1
"09",9241,9264,1
"34",34145,34151,1
"03",3179,3310,1
"39",39436,25467,1
"39",39377,39198,1
"75",77495,77288,1
"21",1249,21468,1
"25",21231,71073,1
"21",21617,21271,1
"21",21231,70198,1
"21",71076,21420,1
"21",21502,25475,1
"21",21383,21408,1
"21",71076,21295,1
"89",89464,75100,1
"58",58194,58046,1
"75",94800,91898,1
"21",21603,21295,1
"89",21231,21501,1
"21",71182,21201,1
"01",21231,21223,1
"71",21461,75105,1
"71",75105,21461,1
"21",52269,21510,1
"21",21318,21023,1
"21",21231,70353,1
"74",74112,74181,1
"21",21166,21347,1
"23",23176,23096,1
"21",21499,21054,1
"21",21607,71073,1
"21",71073,21607,1
"21",21349,71073,1
"93",75120,93048,1
"38",38559,38185,1
"67",67180,67471,1
"71",21231,21172,1
"92",75118,92064,1
"52",52380,52169,1
"21",21617,21124,1
"21",21464,75056,1
"84",84138,84087,1
"21",21555,21059,1
"25",25036,25056,1
"68",68295,68224,1
"71",21154,71076,1
"21",21632,71014,1
"34",34199,34150,1
"21",21093,10387,1
"21",21649,21603,1
"21",56233,21054,1
"71",71014,71182,1
"21",71269,75056,1
"21",21054,21485,1
"21",21534,21423,1
"21",71182,21501,1
"25",21344,21054,1
"92",91201,21231,1
"94",75112,75111,1
"69",69113,21481,1
"21",21617,88435,1
"92",93066,93072,1
"75",75120,75119,1
"21",21215,10343,1
"21",21093,52121,1
"87",87141,87085,1
"39",39101,39198,1
"91",91064,91471,1
"73",73304,73054,1
"25",25334,25462,1
"21",21617,75120,1
"21",21481,21003,1
"39",39198,39300,1
"21",21473,25056,1
"21",74040,1053,1
"21",21454,52121,1
"21",21717,21425,1
"13",13921,13001,1
"75",21910,92350,1
"21",21438,21603,1
"25",21617,21423,1
"04",4094,4070,1
"31",31424,31555,1
"21",0,21345,1
"89",21642,21617,1
"25",71076,21607,1
"65",65440,65408,1
"21",21005,25434,1
"89",21515,21515,1
"63",42147,63132,1
"21",21680,21021,1
"63",63075,63113,1
"21",71270,21519,1
"21",21485,21404,1
"71",71209,39300,1
"58",58145,89025,1
"21",21617,21595,1
"74",74010,74219,1
"25",21231,21524,1
"21",21517,71076,1
"34",34301,34108,1
"93",93027,93008,1
"70",70026,70550,1
"21",21046,71014,1
"89",21408,21540,1
"21",5130,21054,1
"39",39129,39300,1
"21",71475,21684,1
"33",33243,24557,1
"69",69123,71169,1
"21",21309,89025,1
"21",21334,39198,1
"25",25462,21231,1
"69",69202,21999,1
"21",9286,0,1
"71",21527,71076,1
"69",69152,21185,1
"52",52353,21617,1
"21",21129,21154,1
"06",6088,6155,1
"21",21091,21321,1
"06",6926,6161,1
"57",57412,57031,1
"21",21443,71182,1
"21",21177,21154,1
"34",34028,34126,1
"45",45345,45004,1
"33",33800,33063,1
"26",26313,26362,1
"21",21093,21154,1
"21",21515,21128,1
"42",42222,21540,1
"21",54528,21515,1
"21",77014,21608,1
"21",21412,21193,1
"39",39097,39300,1
"21",21496,70279,1
"21",21103,21575,1
"71",71171,71076,1
"89",21563,21231,1
"21",21232,21356,1
"71",21461,69266,1
